feature,mean_abs_shap
weight,11203.692486
covered_by_any_other_company_N,537.070685
years_since_last_admitted,400.393394
regular_checkup_last_year,331.997042
years_of_insurance_with_us,188.497309
weight_change_in_last_one_year,102.874832
was_admitted_before,83.757977
daily_avg_steps,48.689754
weight_bmi_interaction,47.174617
bmi,42.496589
avg_glucose_level,41.403548
steps_per_age,34.261105
age,31.871791
fat_percentage,25.52664
adventure_sports,25.274708
visited_doctor_last_1_year,19.704302
Location_Ahmedabad,19.331964
cholesterol_midpoint,18.74437
age_band_56-65,10.600391
heart_disease_history,9.790884
smoking_status_never smoked,6.931536
exercise_Extreme,6.850653
Location_Jaipur,6.833448
bmi_category_Overweight,6.6396
exercise_No,6.624917
Location_Delhi,6.508284
exercise_Moderate,6.460125
Alcohol_No,6.133647
Occupation_Salaried,5.10108
age_band_46-55,5.048495
Occupation_Business,4.992279
Location_Lucknow,4.774628
smoking_status_formerly smoked,4.174766
smoking_status_Unknown,4.093471
Alcohol_Daily,3.999947
Location_Mangalore,3.536767
any_major_disease_history,3.455485
Occupation_Student,2.809897
Gender_Female,2.801799
bmi_missing_flag,2.718006
age_band_26-35,2.700163
Location_Nagpur,2.546231
Location_Mumbai,2.394139
smoking_status_smokes,2.237233
age_band_36-45,2.170549
Alcohol_Rare,2.11016
other_major_disease_history,2.01883
Location_Bhubaneswar,1.699793
Location_Guwahati,1.608067
Location_Kolkata,1.212064
Location_Surat,0.997383
Location_Pune,0.869479
Location_Chennai,0.569989
Location_Bangalore,0.45948
bmi_category_Normal,0.333609
Gender_Male,0.0
admission_year_missing_flag,0.0
covered_by_any_other_company_Y,0.0
Location_Kanpur,0.0
age_band_<=25,0.0
age_band_66+,0.0
bmi_category_Obese,0.0
bmi_category_Underweight,0.0
