model,cv_rmse_mean,cv_rmse_std,train_MAE,train_RMSE,train_R2,train_MAPE,test_MAE,test_RMSE,test_R2,test_MAPE,test_SMAPE,train_test_RMSE_gap
HistGradientBoostingRegressor,2964.0641,17.2205,2257.106,2808.4196,0.9616,11.0487,2334.9731,2915.13,0.9583,11.3391,10.9716,106.7103
TunedHistGradientBoostingRegressor,2963.0397,,2332.4196,2901.4296,0.959,11.3714,2351.4766,2925.1359,0.958,11.4787,11.095,23.7063
GradientBoostingRegressor,2977.6189,12.1462,2345.4157,2917.9348,0.9586,11.4395,2365.7847,2939.6464,0.9576,11.5704,11.1908,21.7116
DecisionTreeRegressor,3159.2437,7.1437,2173.4303,2755.8084,0.963,10.353,2447.27,3102.5216,0.9528,11.6663,11.3122,346.7132
Lasso,3357.0188,21.3555,2694.5907,3347.3018,0.9455,15.0415,2709.76,3355.5352,0.9447,15.3161,16.0331,8.2334
LinearRegression,3357.105,21.3668,2694.5905,3347.301,0.9455,15.0416,2709.7317,3355.5505,0.9447,15.3158,16.033,8.2496
Ridge,3357.0836,21.6688,2694.3932,3347.3286,0.9455,15.0396,2709.5584,3355.7279,0.9447,15.3132,16.0284,8.3993
ElasticNet,3407.7344,34.5364,2716.2874,3400.2618,0.9437,15.0394,2725.0188,3409.1597,0.943,15.2828,15.5448,8.8979
RandomForestRegressor,4443.7086,59.1143,2951.6118,3799.171,0.9298,16.9668,3287.8418,4265.8029,0.9107,19.0621,16.1863,466.6319
ExtraTreesRegressor,5605.8812,85.1499,3603.6664,4527.341,0.9003,21.7358,4329.3865,5443.912,0.8545,26.3051,21.0053,916.571
DummyRegressor,14336.1634,127.8367,11836.0701,14335.8254,0.0,80.3905,11762.0026,14273.629,-0.0,79.8682,47.6825,-62.1964
