actual_cost_decile,variant,mean_residual
D1,raw_residual,1588.8899
D2,raw_residual,365.54
D3,raw_residual,-50.9985
D4,raw_residual,53.0076
D5,raw_residual,408.8763
D6,raw_residual,111.5547
D7,raw_residual,315.6945
D8,raw_residual,-205.6964
D9,raw_residual,-1336.2911
D10,raw_residual,-1612.4709
D1,calibrated_residual,1474.0287
D2,calibrated_residual,430.7337
D3,calibrated_residual,115.0272
D4,calibrated_residual,242.2995
D5,calibrated_residual,562.6817
D6,calibrated_residual,213.7897
D7,calibrated_residual,440.396
D8,calibrated_residual,-122.9449
D9,calibrated_residual,-1363.7952
D10,calibrated_residual,-1465.8831
