segment_variable,segment,count,actual_mean,predicted_mean,bias_predicted_minus_actual,MAE,RMSE,MAPE
age_band,26-35,894,27404.7383,27446.7122,41.974,2414.2073,2993.3888,11.3401
age_band,36-45,948,27056.8819,27064.1096,7.2278,2438.0036,3011.335,12.2263
age_band,46-55,892,27568.5561,27453.6994,-114.8567,2389.2461,3014.8589,11.9525
age_band,56-65,895,26613.0369,26528.6734,-84.3635,2345.376,2906.6961,11.4664
age_band,66+,638,27084.1724,26944.5859,-139.5865,2410.0594,3029.8168,11.8955
age_band,<=25,733,27038.573,27095.4488,56.8758,2360.8257,2941.3165,11.2203
bmi_category,Normal,900,27315.2756,27254.7438,-60.5318,2340.2825,2935.1323,11.1247
bmi_category,Obese,2715,26905.2906,26855.1876,-50.103,2385.0073,2987.1363,11.7117
bmi_category,Overweight,1282,27587.8892,27619.8162,31.927,2460.0765,3013.7708,12.0317
bmi_category,Underweight,103,25818.1553,25513.6018,-304.5535,2258.096,2874.7575,11.9655
smoking_status,Unknown,1552,27137.6637,27043.3884,-94.2752,2381.8372,2977.3748,11.4923
smoking_status,formerly smoked,851,27020.3948,27086.575,66.1801,2374.8989,2924.2676,12.0719
smoking_status,never smoked,1809,27067.5069,27013.0121,-54.4948,2401.9231,2991.3622,11.6257
smoking_status,smokes,788,27387.5964,27397.279,9.6826,2417.794,3033.674,11.8354
exercise,Extreme,1060,26791.7698,26847.1113,55.3415,2478.6504,3060.5817,12.3177
exercise,Moderate,2949,27378.1458,27339.2678,-38.878,2366.24,2959.7215,11.4149
exercise,No,991,26761.9859,26635.8934,-126.0924,2383.9958,2965.067,11.8538
Alcohol,Daily,563,26906.8988,26884.4228,-22.476,2391.2296,2993.681,11.6994
Alcohol,No,1650,27203.343,27101.1022,-102.2409,2410.6423,3002.1282,11.7779
Alcohol,Rare,2787,27134.7169,27134.862,0.1451,2383.9716,2968.4401,11.642
Gender,Female,1754,26870.1038,26738.6869,-131.4169,2388.6597,2979.4126,11.8771
Gender,Male,3246,27273.0727,27288.3402,15.2675,2396.2544,2984.0768,11.594
Location,Ahmedabad,303,25954.7261,26128.5419,173.8159,2318.4155,2869.0376,12.0718
Location,Bangalore,310,26527.0194,26566.1616,39.1423,2340.8939,2879.0138,11.2375
Location,Bhubaneswar,362,27175.2707,27028.9593,-146.3114,2494.8754,3120.8607,12.0457
Location,Chennai,318,27252.7736,26986.2007,-266.5729,2341.8371,2919.359,11.6392
Location,Delhi,359,26921.1365,27006.4106,85.2741,2430.7967,3074.2479,11.8269
Location,Guwahati,338,28064.3728,28105.19,40.8173,2435.8316,3013.5482,11.1196
Location,Jaipur,346,26727.1561,26493.0266,-234.1295,2381.273,2954.5113,11.5807
Location,Kanpur,348,25871.4483,25873.1147,1.6664,2232.1277,2794.8142,11.6913
Location,Kolkata,304,27898.9539,28076.6943,177.7403,2233.277,2821.572,10.8001
Location,Lucknow,337,27254.1899,27324.8823,70.6924,2309.1225,2885.8012,12.1035
Location,Mangalore,359,27560.4791,27309.8247,-250.6544,2498.5423,3150.9829,11.9728
Location,Mumbai,329,26409.1003,26446.5416,37.4413,2319.0348,2895.6546,11.017
Location,Nagpur,351,28360.906,28310.7034,-50.2026,2523.5409,3099.0002,11.9274
Location,Pune,347,28029.9366,27865.0341,-164.9025,2480.8574,3010.3665,11.8822
Location,Surat,289,26767.9792,26777.1817,9.2025,2531.5808,3172.6279,12.4183
covered_by_any_other_company,N,3434,26191.4164,26251.4491,60.0327,2353.4658,2923.4463,12.1232
covered_by_any_other_company,Y,1566,29193.6347,28946.4449,-247.1899,2481.5768,3107.8909,10.7506
risk_profile_segment,High lifestyle,1495,27133.1425,27160.6932,27.5507,2349.3652,2943.7394,11.4859
risk_profile_segment,High medical,236,28920.5678,28608.1709,-312.3969,2417.1601,3037.4266,10.2386
risk_profile_segment,High medical and lifestyle,149,26642.8054,26218.8735,-423.9319,2662.7093,3277.7218,13.5255
risk_profile_segment,Lower combined risk,3120,27019.0628,26991.7411,-27.3217,2400.1463,2981.8687,11.8152
medical_risk_band,High,636,29055.2673,28698.9306,-356.3367,2628.6684,3260.921,11.7215
medical_risk_band,Low,1616,25965.9257,26019.3254,53.3997,2349.5601,2920.5327,11.998
