feature,importance_mean,importance_std
weight,1.7818435998696174,0.022382778364260735
Year_last_admitted,0.009274312539431784,0.00044508503952955895
covered_by_any_other_company,0.004130269600880232,0.0001258428732398861
regular_checkup_last_year,0.002804347788706707,0.000342252850169308
years_of_insurance_with_us,0.0016798461489967221,9.423181463937499e-05
weight_change_in_last_one_year,0.0012125086186106637,7.093760138734032e-05
avg_glucose_level,0.00012757047810261213,5.396968917525601e-05
Location,0.0001252372950335978,2.9067170914225912e-05
daily_avg_steps,0.00011749627198476276,8.646350090921958e-05
age,7.680309390787344e-05,5.598296927736777e-05
fat_percentage,7.157968066462406e-05,3.013084413240754e-05
visited_doctor_last_1_year,5.523944539618242e-05,1.7566466030122988e-05
adventure_sports,5.379133246201651e-05,1.875112545919538e-05
bmi,5.204610618350092e-05,6.902310483189868e-05
smoking_status,3.7746203695054883e-05,4.4974438836119136e-05
other_major_disease_history,3.171713567073908e-05,1.7124776415944545e-05
Gender,2.576270849605766e-05,1.4208333902465387e-05
Occupation,2.4204216473111552e-05,1.6184197006133686e-05
exercise,1.8700540481186855e-05,3.119694144827578e-05
cholesterol_level,1.3896143340352829e-05,1.4286102663120687e-05
applicant_id,0.0,0.0
heart_disease_history,-5.5531025884958394e-06,5.4856034097208744e-05
Alcohol,-3.501202115112623e-05,2.7163522107476855e-05
