feature,mean_abs_shap
weight,11343.256845040109
covered_by_any_other_company_N,570.3419978507915
years_since_last_admitted,429.03277177267427
regular_checkup_last_year,319.9917922892174
years_of_insurance_with_us,215.2159317510818
weight_change_in_last_one_year,88.4083482299112
was_admitted_before,77.75715162983012
age,52.07126230332457
daily_avg_steps,44.729386119388074
bmi,43.750788083611205
steps_per_age,40.96204915022947
avg_glucose_level,39.08310474720112
weight_bmi_interaction,38.510434348059974
visited_doctor_last_1_year,37.27369006520164
adventure_sports,33.81899696692828
fat_percentage,22.679931673403118
heart_disease_history,18.79780295613046
Location_Ahmedabad,17.367214348800637
smoking_status_never smoked,12.875192743908801
Location_Jaipur,12.203975569690481
cholesterol_midpoint,11.048917265570852
Alcohol_No,8.820646995443079
Location_Mangalore,8.222908269024318
exercise_Extreme,6.621952870860894
Gender_Female,6.373902818959251
Location_Delhi,6.257175641757721
age_band_50-59,5.933894110908699
Alcohol_Daily,5.862587585156235
smoking_status_formerly smoked,4.967697483285855
smoking_status_Unknown,4.736879784989963
exercise_Moderate,4.663138529591674
Location_Kolkata,4.492162831754187
Occupation_Student,4.344864342959937
bmi_category_Overweight,4.227265013897134
age_band_40-49,3.9265605134460198
Location_Mumbai,3.691707860494419
Location_Bhubaneswar,3.6462979971936624
other_major_disease_history,3.5205385743080306
exercise_No,3.507723663241927
Location_Lucknow,3.3332971770689013
Location_Nagpur,3.2642054943179075
any_major_disease_history,2.9952223819598656
Occupation_Salaried,2.944673204114571
Location_Surat,2.818011690342783
smoking_status_smokes,2.561794347473059
Alcohol_Rare,2.423931863835838
Location_Guwahati,2.2696903397042285
Location_Chennai,2.037194234761236
age_band_30-39,1.7761153045616742
Location_Kanpur,1.341467630806584
Occupation_Business,1.1528731494223485
bmi_category_Normal,1.1011391803377082
Location_Pune,0.8384623947642006
Location_Bangalore,0.40519813853111436
Gender_Male,0.0
covered_by_any_other_company_Y,0.0
age_band_0-29,0.0
age_band_60+,0.0
bmi_category_Obese,0.0
bmi_category_Underweight,0.0
